conf_id,person_model,station_model,person_conf,person_iou,imgsz,tracker,PROXIMITY_THRESHOLD,MIN_TIME_OUTSIDE,video,complejo,evasion_pred_count,evasion_real_count,evasion_real,evasion_pred,case1_count,case2_count
config_1,yolo_models/yolo11tm.pt,station_models/stationv2.pt,0.35,0.4,1920,trackers/bytetrack.yaml,150,1,Ch1_20181024071125-01.mkv,NO,3,2,SI,SI,1,2
config_1,yolo_models/yolo11tm.pt,station_models/stationv2.pt,0.35,0.4,1920,trackers/bytetrack.yaml,150,1,Ch1_20181118165748-02.mkv,NO,3,1,SI,SI,0,3
config_1,yolo_models/yolo11tm.pt,station_models/stationv2.pt,0.35,0.4,1920,trackers/bytetrack.yaml,150,1,Ch2_20181118111409-03.mkv,NO,0,0,NO,NO,0,0
config_1,yolo_models/yolo11tm.pt,station_models/stationv2.pt,0.35,0.4,1920,trackers/bytetrack.yaml,150,1,Ch1_20181120192300-08.mkv,NO,3,3,SI,SI,1,2
config_1,yolo_models/yolo11tm.pt,station_models/stationv2.pt,0.35,0.4,1920,trackers/bytetrack.yaml,150,1,Ch1_20181023194106-01.mkv,NO,0,0,NO,NO,0,0
config_1,yolo_models/yolo11tm.pt,station_models/stationv2.pt,0.35,0.4,1920,trackers/bytetrack.yaml,150,1,Ch2_20181119161256-03.mkv,NO,0,0,NO,NO,0,0
config_1,yolo_models/yolo11tm.pt,station_models/stationv2.pt,0.35,0.4,1920,trackers/bytetrack.yaml,150,1,Ch1_20181120175301-08.mkv,NO,1,1,SI,SI,0,1
config_1,yolo_models/yolo11tm.pt,station_models/stationv2.pt,0.35,0.4,1920,trackers/bytetrack.yaml,150,1,Ch2_20181118190343-07.mkv,NO,0,1,SI,NO,0,0
config_1,yolo_models/yolo11tm.pt,station_models/stationv2.pt,0.35,0.4,1920,trackers/bytetrack.yaml,150,1,Ch1_20181118113225-01.mkv,NO,0,0,NO,NO,0,0
config_1,yolo_models/yolo11tm.pt,station_models/stationv2.pt,0.35,0.4,1920,trackers/bytetrack.yaml,150,1,Ch1_20181119061545-03.mkv,NO,0,0,NO,NO,0,0
config_1,yolo_models/yolo11tm.pt,station_models/stationv2.pt,0.35,0.4,1920,trackers/bytetrack.yaml,150,1,Ch2_20181019135619-01.mkv,NO,0,0,NO,NO,0,0
config_1,yolo_models/yolo11tm.pt,station_models/stationv2.pt,0.35,0.4,1920,trackers/bytetrack.yaml,150,1,Ch1_20181118133847-04.mkv,NO,0,0,NO,NO,0,0
config_1,yolo_models/yolo11tm.pt,station_models/stationv2.pt,0.35,0.4,1920,trackers/bytetrack.yaml,150,1,Ch1_20181119121740-00.mkv,NO,0,0,NO,NO,0,0
config_1,yolo_models/yolo11tm.pt,station_models/stationv2.pt,0.35,0.4,1920,trackers/bytetrack.yaml,150,1,Ch1_20181118150915-02.mkv,NO,0,0,NO,NO,0,0
config_1,yolo_models/yolo11tm.pt,station_models/stationv2.pt,0.35,0.4,1920,trackers/bytetrack.yaml,150,1,Ch2_20181118181010-12.mkv,NO,5,3,SI,SI,0,5
config_1,yolo_models/yolo11tm.pt,station_models/stationv2.pt,0.35,0.4,1920,trackers/bytetrack.yaml,150,1,Ch2_20181020091612-00.mkv,NO,0,0,NO,NO,0,0
config_1,yolo_models/yolo11tm.pt,station_models/stationv2.pt,0.35,0.4,1920,trackers/bytetrack.yaml,150,1,Ch1_20181118150915-03.mkv,NO,1,0,NO,SI,1,0
config_1,yolo_models/yolo11tm.pt,station_models/stationv2.pt,0.35,0.4,1920,trackers/bytetrack.yaml,150,1,Ch1_20181118053021-02.mkv,NO,0,0,NO,NO,0,0
config_1,yolo_models/yolo11tm.pt,station_models/stationv2.pt,0.35,0.4,1920,trackers/bytetrack.yaml,150,1,Ch2_20181119161256-00.mkv,NO,3,3,SI,SI,0,3
config_1,yolo_models/yolo11tm.pt,station_models/stationv2.pt,0.35,0.4,1920,trackers/bytetrack.yaml,150,1,Ch1_20181118113207-00.mkv,NO,1,1,SI,SI,1,0
config_1,yolo_models/yolo11tm.pt,station_models/stationv2.pt,0.35,0.4,1920,trackers/bytetrack.yaml,150,1,Ch2_20181118060631-02.mkv,NO,2,1,SI,SI,1,1
config_1,yolo_models/yolo11tm.pt,station_models/stationv2.pt,0.35,0.4,1920,trackers/bytetrack.yaml,150,1,Ch2_20181118184607-09.mkv,YES,0,1,SI,NO,0,0
