conf_id,person_model,station_model,person_conf,person_iou,imgsz,tracker,PROXIMITY_THRESHOLD,MIN_TIME_OUTSIDE,accuracy,precision,recall,f1_score,accuracy_count,precision_count_macro,recall_count_macro,f1_count_macro,mean_absolute_error_count,mean_squared_error_count
config_14,yolo_models/yolo11m.pt,station_models/stationv2.pt,0.4,0.5,1920,trackers/botsort.yaml,100,1.5,0.8466666666666667,0.9095744680851063,0.855,0.8814432989690721,0.65,0.41136998824687104,0.42175688509021847,0.4122751846388928,0.44333333333333336,0.73
config_15,yolo_models/yolo11s.pt,station_models/stationv1.pt,0.4,0.5,1280,trackers/bytetrack.yaml,100,1.5,0.85,0.9329608938547486,0.835,0.8812664907651715,0.73,0.4522834052046993,0.41595441595441596,0.42333605091339965,0.33,0.49
config_16,yolo_models/yolo11tm.pt,station_models/stationv1.pt,0.4,0.5,1280,trackers/botsort.yaml,100,1.5,0.8166666666666667,0.9559748427672956,0.76,0.8467966573816156,0.7166666666666667,0.40017743243036535,0.3387264957264957,0.3560698722892539,0.4,0.7133333333333334
config_17,yolo_models/yolo11tm.pt,station_models/stationv1.pt,0.5,0.5,1280,trackers/bytetrack.yaml,200,2.0,0.7933333333333333,0.9259259259259259,0.75,0.8287292817679558,0.68,0.313183250692219,0.2898005698005698,0.29356185965035847,0.49333333333333335,1.0666666666666667
config_18,yolo_models/yolo11s.pt,station_models/stationv1.pt,0.35,0.5,1280,trackers/botsort.yaml,200,2.0,0.8266666666666667,0.9111111111111111,0.82,0.8631578947368421,0.6633333333333333,0.4866959944689772,0.4390123456790123,0.45758044924247027,0.43666666666666665,0.6966666666666667
config_19,yolo_models/yolo11m.pt,station_models/stationv1.pt,0.5,0.4,1920,trackers/bytetrack.yaml,150,1.5,0.86,0.9030612244897959,0.885,0.8939393939393939,0.67,0.44160981729789067,0.47927825261158596,0.45292992975623547,0.49333333333333335,1.0466666666666666
config_20,yolo_models/yolo11m.pt,station_models/stationv1.pt,0.5,0.4,1920,trackers/botsort.yaml,150,1.5,0.8633333333333333,0.9035532994923858,0.89,0.8967254408060453,0.68,0.42396893925418866,0.440905982905983,0.4291947656990973,0.46,0.92
config_21,yolo_models/yolo11tm.pt,station_models/stationv1.pt,0.35,0.5,1920,trackers/bytetrack.yaml,100,1.5,0.81,0.9281437125748503,0.775,0.8446866485013624,0.7033333333333334,0.3985009768206292,0.37421652421652424,0.3767679179504605,0.39,0.63
config_22,yolo_models/yolo11tm.pt,station_models/stationv1.pt,0.35,0.5,1920,trackers/botsort.yaml,100,1.5,0.81,0.9281437125748503,0.775,0.8446866485013624,0.7133333333333334,0.442098098177953,0.396039886039886,0.40691699589445823,0.38333333333333336,0.6366666666666667
config_23,yolo_models/yolo11s.pt,station_models/stationv2.pt,0.5,0.5,1920,trackers/bytetrack.yaml,200,2.0,0.8466666666666667,0.8811881188118812,0.89,0.8855721393034826,0.61,0.27883326703756517,0.27334188034188034,0.2721746775534722,0.5333333333333333,1.0133333333333334
config_24,yolo_models/yolo11s.pt,station_models/stationv2.pt,0.5,0.5,1920,trackers/botsort.yaml,200,2.0,0.8466666666666667,0.8928571428571429,0.875,0.8838383838383839,0.62,0.22598520309980757,0.22911965811965812,0.22654654656079734,0.5133333333333333,1.0066666666666666
config_25,yolo_models/yolo11m.pt,station_models/stationv2.pt,0.4,0.5,1280,trackers/bytetrack.yaml,150,1.5,0.86,0.895,0.895,0.895,0.67,0.46231776466732216,0.46390598290598295,0.45964809586548716,0.42,0.66
config_26,yolo_models/yolo11m.pt,station_models/stationv2.pt,0.4,0.5,1280,trackers/botsort.yaml,150,1.5,0.8633333333333333,0.9076923076923077,0.885,0.8962025316455696,0.6933333333333334,0.4497354497354497,0.4313485280151947,0.4309255910521734,0.37,0.5166666666666667
config_27,yolo_models/yolo11tm.pt,station_models/stationv2.pt,0.5,0.5,1920,trackers/bytetrack.yaml,150,2.0,0.8133333333333334,0.9,0.81,0.8526315789473684,0.6566666666666666,0.29551357733175915,0.2745489078822412,0.2811533105137756,0.45,0.8366666666666667
